0: 12, 5, 9, 6, 6, 10, 10, 10, 8, 3, 6, 11, 4, 8, 10, 5
1: 16, 19, 22, 19, 13, 21, 16, 17, 21, 17, 15, 15, 14, 17, 18, 20
2: 29, 31, 29, 23, 32, 28, 29, 30, 25, 25, 26, 29, 30, 27, 29, 29
3: 40, 42, 42, 37, 35, 37, 35, 41, 37, 40, 41, 39, 34, 40, 41, 39
4: 44, 48, 49, 51, 49, 49, 43, 49, 48, 51, 47, 46, 44, 45, 49, 49
5: 53, 57, 61, 56, 58, 56, 53, 59, 59, 56, 53, 53, 53, 58, 61, 53
6: 72, 64, 71, 67, 68, 64, 68, 64, 68, 65, 66, 66, 71, 65, 64, 71
7: 79, 82, 81, 73, 75, 75, 75, 82, 74, 80, 81, 77, 74, 79, 78, 80
8: 84, 83, 86, 89, 84, 85, 89, 83, 83, 87, 88, 90, 88, 91, 89, 86
9: 100, 100, 93, 100, 94, 102, 99, 101, 102, 101, 97, 99, 101, 99, 101, 101
10: 110, 107, 107, 106, 107, 104, 105, 106, 108, 107, 112, 104, 110, 110, 104, 107
11: 119, 120, 114, 113, 115, 117, 121, 115, 119, 113, 120, 116, 119, 115, 120, 119
12: 128, 127, 128, 127, 123, 124, 132, 131, 129, 126, 125, 125, 123, 130, 125, 132
13: 138, 134, 141, 141, 141, 135, 140, 139, 136, 139, 135, 141, 137, 138, 139, 135
14: 148, 147, 150, 152, 151, 148, 144, 143, 152, 143, 152, 143, 148, 145, 143, 143
15: 155, 159, 162, 157, 159, 160, 160, 154, 156, 155, 159, 158, 161, 155, 155, 161
16: 171, 163, 171, 169, 167, 167, 166, 169, 167, 163, 167, 166, 169, 163, 169, 166
17: 178, 181, 182, 178, 176, 182, 180, 179, 178, 176, 174, 179, 174, 182, 182, 182
18: 187, 190, 184, 188, 190, 183, 185, 192, 183, 185, 192, 186, 186, 190, 187, 186
19: 197, 197, 197, 197, 202, 197, 193, 202, 198, 196, 195, 195, 193, 193, 202, 198
